STL,English,Complexity
"always[0,600](voltage > 24) -> (always[600,900](temperature < 50) or eventually[0,900](warning > 0))","If the robot's battery voltage remains above 24 volts during the first 10 minutes, then either the motor temperature will stay below 50 degrees for the following 5 minutes, or a warning signal will be raised at any point during the first 15 minutes.",non-nested
"always[0,20]((s_1 < 10) and (s_2 < 30)) -> eventually[25,30](always[0,5](a_1 > 0))","If robot sensor s_1 detects an obstacle closer than 10 units for the entire duration between 0 and 20 seconds, and simultaneously robot sensor s_2 measures a temperature below 30 degrees, then robot actuator a_1 must trigger an alarm that lasts for at least 5 seconds anytime between 25 and 30 seconds.",nested
"always[10,30](speed <= 2)",The robot's speed must not exceed 2 meters per second continuously from seconds 10 to 30.,non-nested
"eventually[0,300](p1 > 300) -> not eventually[300,900](t3 > 100)","Whenever the robotic arm's pressure sensor p1 exceeds 300 psi during the initial 5-minute period, ensure that the temperature sensor t3 does not exceed 100 degrees Celsius anytime within the following 10 minutes.",non-nested
"eventually[0,60](always[0,10](p_1 > 70)) -> always[10,70](v_1 <= 40)","In a robotic assembly line, if the sensor measure of pressure p1 exceeds 70 units for at least 10 continuous seconds during the first minute, then it is guaranteed that the velocity v1 must not exceed 40 units at any time between 10 to 70 seconds.",nested
"always[0,60](x_1 > 10) -> eventually[61,90](f_3 > 5)","When robot arm position x_1 remains above the threshold of 10 units throughout the first 60 seconds, it must result in the gripper force f_3 exceeding 5 units at any moment within the following 30 seconds.",non-nested
"always[0,120]((x_1 <= 45) and (x_2 < 30))","Within the first 120 time units, robot arm's rotation angle signal x_1 must never exceed 45 degrees while the temperature sensor x_2 stays below 30 degrees.",non-nested
"always[2,8](v_1 > 1.2)",The velocity of robot signal v_1 exceeds 1.2 from 2 to 8 time units continuously.,non-nested
"always[0,10](r1 < 2) -> eventually[5,15](avoidance_protocol == 1)","In a robotics context, if sensor r1 detects an obstacle closer than 2 meters continuously for the first 10 minutes, it should trigger the robot to activate its avoidance protocol, which must begin operation within the next 5 to 15 minutes.",non-nested
"always[2,8](temp_avg < -10) -> eventually[3,9](pressure > 30)","In a robotic sensor network, if the average temperature signal `temp_avg[t]` falls below -10 degrees Celsius consistently during the interval [2,8], it should lead to the pressure sensor `pressure[t]` exceeding 30 units at least once in the interval [3,9].",non-nested
"always[0,600](a_1 > 500 and a_2 < 100) -> eventually[601,900](b_1 > 1)","In a robotic operation, if sensor a_1 detects pressure above 500 units continuously for 10 minutes, while simultaneously, sensor a_2 reports a temperature under 100 degrees for the same duration, then the actuator b_1 should activate within the subsequent 5 minutes.",non-nested
"always[0,60](x_1 > 2) -> always[10,30](x_2 <= 5)","Whenever the robotic arm's position x_1 is strictly above 2 units during the first 60 time units, the pressure sensor x_2 must never exceed 5 units in the subsequent 10 to 30 time units.",non-nested
"always[5,10](x1 > 12) -> eventually[5,10](x2 > 300)","The robot's battery voltage x1 stays above 12V continuously from 5 to 10 seconds, implying that the robot’s load x2 exceeds 300 watts at any moment in the same interval.",non-nested
"eventually[0,200](always[0,60](s1 > 500) and always[0,40](t2 <= 30) -> always[0,100](motor < 5))","Within the next 200 seconds, if robot sensor s1 detects a light level above 500 lux for at least 60 seconds, and simultaneously, the temperature t2 does not exceed 30 degrees for 40 seconds, then thereafter, within the next 100 seconds, there will be a continuous motor actuator value below 5 radians.",nested
"always[0,200]((s_x > 2.5) -> not eventually[5,15](s_y < 1))","From the beginning of monitoring up to 200 time units, if the average speed of robot x (signal s_x) exceeds 2.5 m/s, it is required that robot y (signal s_y) does not enter a zone indicated by s_y < 1 within the subsequent 5 to 15 time units.",non-nested
"always(s1 < 5 -> always[0,30](s2 < 10))","Every time robot sensor s1 detects an object within 5 meters, robot sensor s2 must identify an object within 10 meters for at least the next 30 seconds.",non-nested
"always(v_1 > 5) until (b_1 < 20 and eventually[0,0](v_1 < 2))","The robot velocity v_1 should be consistently above 5 m/s until its battery level b_1 drops below 20%, at which point, the robot must immediately reduce velocity below 2 m/s for safety purposes.",non-nested
"always[0,120](always[0,30](x1 > 20) -> eventually[0,60](x2 < 5))","If the robot's arm rotational velocity x1 exceeds 20 radians per second for at least 30 consecutive seconds during the first 2 minutes, then pressure sensor x2 must register less than 5 psi within the next minute.",nested
"always[0,30](abs(x_1 - target) <= 10) -> eventually[0,60](y_1 > 5)","If the robot's arm position x_1 remains within 10 units of the target for at least 30 seconds, then the pressure sensor y_1 should detect a pressure greater than 5 units within the next 60 seconds.",non-nested
"always[0,8](x1 > 10) -> not eventually[2,6](x2 > 20)","The robot's sensor x1 must remain above the threshold of 10 during the whole period from time 0 to time 8, which signifies that at no time between 2 and 6 should sensor x2 exceed a value of 20.",non-nested
"always[0,10](x_10 > 100) -> eventually[5,15](y_10 > 0)","In a robotic system, if the temperature sensor reading, x_10, exceeds 100 degrees Celsius continuously over 10 seconds, then within the next 5 to 15 seconds the cooling system, y_10, must activate.",non-nested
"always[0,20](s1 >= 5)","The robot must avoid an obstacle detected by sensor s1 by maintaining a distance of at least 5 units from it, from the start until 20 seconds elapse.",non-nested
"always[0,10](v_1 > 100) and always[0,10](v_2 < 50)","The robotic sensor v_1 must detect an obstacle (represented by a value greater than 100) continuously from time 0 to 10, and during the same period, sensor v_2 must not detect a high temperature (represented by a value less than 50).",non-nested
"always[0,200](always[0,20](distance1 < 0.5) -> eventually[10,30](speed1 < 0.3))","Within the initial 200 time units, if the robot's proximity sensor distance1 remains below 0.5 meters continuously for over 20 seconds, then there must be a decrease in speed signal speed1 falling under 0.3 m/s within the subsequent 10 to 30 seconds.",nested
"eventually[0,60](x_5 < 30) -> always[0,20](x_3 > 15)",The robot's arm force sensor x3 remains above a threshold of 15 for at least 20 seconds whenever a proximity sensor x5 detects an object closer than 30 cm within the next minute.,non-nested
"eventually[0,5](torque > 40) -> always[5,15](grip_force >= 20)","Whenever robot arm torque exceeds 40Nm within the next 5 seconds, the grip force must sustain at least 20N for the subsequent 10 seconds.",non-nested
"always[0,60](torque > 5) -> eventually[0,120](always[0,20](position == 500))","The robot's arm torque exceeds 5 Nm for at least 60 seconds continuously, and subsequently, the arm position must be stable at position 500 for at least 20 seconds within the next 120 seconds.",non-nested
"always[0,10](temperature > 38) until[0,10](voltage < 12)","The robot must maintain a temperature sensor reading above 38 degrees for the first 10 minutes, unless the battery voltage drops below 12 volts during that interval.",non-nested
"always[0,30](v1 <= 10) -> eventually[0,60](p1 > 100)","If the robot arm's velocity v1 does not exceed 10 units for at least 30 seconds, it must reach a position p1 of more than 100 units within the next 60 seconds.",non-nested
"always[0,20](v1 > 1.0) and always[0,20](t3 <= 50) -> eventually[0,60](cooling_system_initiated == 1)","In a robotic system, if the sensor voltage v1 remains above 1.0 volts continuously for 20 seconds, and the temperature t3 does not exceed 50 degrees Celsius within these 20 seconds, then the robot should initiate its cooling system sometime in the next 60 seconds.",non-nested
"eventually[0,100](v > 10) -> always[0,50](v >= 5)","In the first 100 time units, if the robot's velocity v exceeds 10 at any point, it must not fall below 5 within the next 50 units.",non-nested
"always[0,15](s1 > 30) -> always[0,10](f1 <= 100)","If the robot arm's speed s1 exceeds 30 mm/s continuously for at least 15 seconds, then the force f1 exerted must not exceed 100 N anytime within 10 seconds following the high-speed activity.",non-nested
"eventually[0,120](always[0,30](v1 <= 10))",The robot's velocity v1 should not exceed 10 m/s for at least 30 seconds within the next 2 minutes.,nested
"always[0,100](s1 > 80) and eventually[0,100](l1 < 20) -> eventually[0,50](m1 < 0.7 * initial_m1)","Within the initial 100 time units, if the proximity sensor s1 reads higher than 80, and during the same period, the light sensor l1 reads lower than 20 at least once, then the robot's motor speed m1 must be reduced by at least 30% within the following 50 time units.",non-nested
"eventually[0,15](v > 3) and eventually[10,20](p < 2) -> always[5,25](v < 1)","If the robot's velocity v reaches over 3 m/s within the first 15 seconds, and the proximity sensor p detects an object closer than 2 meters sometime in the interval [10,20], then the robot must reduce its speed to under 1 m/s for the duration [5,25].",non-nested
"always[0,500]((proximity_sensor < 1) -> eventually[10,20](always[0,30](speed > 3)))","In a robot navigation system, within the first 500 time units, whenever the proximity sensor detects an object closer than 1 unit, the robot will increase speed to more than 3 m/s within the next 10 to 20 time units and maintain this speed for at least 30 time units.",nested
"always[0,2000](t>50 -> g>100)","The robotic arm's grip strength, measured by sensor g, must exceed 100 Newtons whenever the temperature, measured by sensor t, is above 50 degrees Celsius within the first 2000 time units.",non-nested
"always[0,10](b < 30) -> (eventually[10,15](d < 2) -> eventually[10,15](navigate_to_charging_station > 0))","Whenever the robot's battery level, denoted by b[t], remains below 30% during the first 10 minutes, the robot must navigate to the charging station if, within the subsequent 5 minutes, its distance sensor d[t] detects an obstacle closer than 2 meters.",non-nested
"always[0,60](always[0,5](v1 <= 10))",The robot's velocity sensor v1 must not exceed 10 m/s for any 5 second interval in the first 60 seconds.,nested
"always[0,200]((v1>1.5 and d1<0.3) -> eventually[5,10](v2<0.5))","In the first 200 milliseconds, if the velocity v1 exceeds 1.5 m/s while the proximity sensor d1 is less than 0.3 meters, then the robot must decrease speed v2 to less than 0.5 m/s within 5 to 10 milliseconds later.",non-nested
